name,objectives,schedule,status,update_time,meta,title,subtitle,rationale,domain,progress_start_time,progress_end_time,progress
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(42, 59)",2026-05-23 00:00:00 - 2026-05-24 00:00:00,ENABLED,2026-05-23 23:22:14+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(44, 63)",2026-05-15 00:00:00 - 2026-05-16 00:00:00,ENABLED,2026-05-15 09:17:14+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(44, 70)",2026-06-02 00:00:00 - 2026-06-03 00:00:00,ENABLED,2026-06-03 10:10:11+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(45, 69)",2026-05-19 00:00:00 - 2026-05-20 00:00:00,ENABLED,2026-05-18 22:54:34+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(45, 69)",2026-05-19 00:00:00 - 2026-05-20 00:00:00,ENABLED,2026-05-19 11:09:15+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(45, 69)",2026-05-21 00:00:00 - 2026-05-22 00:00:00,ENABLED,2026-05-20 23:44:05+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(45, 69)",2026-05-22 00:00:00 - 2026-05-23 00:00:00,ENABLED,2026-05-23 23:22:13+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(45, 69)",2026-05-22 00:00:00 - 2026-05-23 00:00:00,ENABLED,2026-05-23 23:22:18+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(45, 70)",2026-05-26 00:00:00 - 2026-05-27 00:00:00,ENABLED,2026-05-26 06:02:09+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(45, 70)",2026-05-26 00:00:00 - 2026-05-27 00:00:00,ENABLED,2026-05-26 06:02:14+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(49, 70)",2026-05-27 00:00:00 - 2026-05-28 00:00:00,ENABLED,2026-05-27 04:54:30+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(51, 70)",2026-05-28 00:00:00 - 2026-05-29 00:00:00,ENABLED,2026-05-27 22:21:29+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(51, 70)",2026-05-28 00:00:00 - 2026-05-29 00:00:00,ENABLED,2026-05-28 10:28:46+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(51, 70)",2026-05-28 00:00:00 - 2026-05-29 00:00:00,ENABLED,2026-05-28 10:28:46+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(63, 69)",2026-05-20 00:00:00 - 2026-05-21 00:00:00,ENABLED,2026-05-19 22:22:03+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(63, 69)",2026-05-20 00:00:00 - 2026-05-21 00:00:00,ENABLED,2026-05-20 06:08:47+0000,,,,,GOALS,,,
weekly-distance,"MEASURE: steps-distance, TARGET: AT_LEAST(56327040)",DAILY,ENABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
weekly-energy-burned,"MEASURE: energy-burned, TARGET: AT_LEAST(17150)",WEEKLY,ENABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
weekly-exercise-days,"MEASURE: EXERCISE_DAYS, TARGET: AT_LEAST(3)",WEEKLY,ENABLED,1970-01-01 00:00:00+0000,,,,,GOALS,,,
weekly-floors,"MEASURE: floors-count, TARGET: AT_LEAST(70)",WEEKLY,ENABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
weekly-steps,"MEASURE: steps-count, TARGET: AT_LEAST(70000)",WEEKLY,ENABLED,2026-05-06 09:39:17+0000,,,,,GOALS,,,
